CPU Model            Memory Model              Frequency  Tick Count     
DerivO3CPU           DDR3_2133_8x8             1GHz       1950172000     
DerivO3CPU           DDR4_2400_8x8             1GHz       1992907000     
DerivO3CPU           DDR5_4400_4x8             1GHz       3832190000     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  1GHz       4695489000     
DerivO3CPU           DDR3_1600_8x8             1.2GHz     2000263741     
DerivO3CPU           DDR3_2133_8x8             1.2GHz     1895334896     
DerivO3CPU           DDR4_2400_8x8             1.2GHz     1934576693     
DerivO3CPU           DDR5_4400_4x8             1.2GHz     3825711603     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  1.2GHz     4691306893     
DerivO3CPU           DDR3_1600_8x8             1.4GHz     1957246074     
DerivO3CPU           DDR3_2133_8x8             1.4GHz     1843770768     
DerivO3CPU           DDR4_2400_8x8             1.4GHz     1869738948     
DerivO3CPU           DDR5_4400_4x8             1.4GHz     3815382522     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  1.4GHz     4687122258     
DerivO3CPU           DDR3_1600_8x8             1.6GHz     1904738125     
DerivO3CPU           DDR3_2133_8x8             1.6GHz     1799271250     
DerivO3CPU           DDR4_2400_8x8             1.6GHz     1820199375     
DerivO3CPU           DDR5_4400_4x8             1.6GHz     3815109375     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  1.6GHz     4660402500     
DerivO3CPU           DDR3_1600_8x8             1.8GHz     1887205780     
DerivO3CPU           DDR3_2133_8x8             1.8GHz     1784011624     
DerivO3CPU           DDR4_2400_8x8             1.8GHz     1801056916     
DerivO3CPU           DDR5_4400_4x8             1.8GHz     3764240096     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  1.8GHz     4683181884     
DerivO3CPU           DDR3_1600_8x8             2GHz       1864493500     
DerivO3CPU           DDR3_2133_8x8             2GHz       1755202500     
DerivO3CPU           DDR4_2400_8x8             2GHz       1769604500     
DerivO3CPU           DDR5_4400_4x8             2GHz       3623663500     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  2GHz       4680000000     
DerivO3CPU           DDR3_1600_8x8             2.2GHz     1815978255     
DerivO3CPU           DDR3_2133_8x8             2.2GHz     1735437795     
DerivO3CPU           DDR4_2400_8x8             2.2GHz     1762603570     
DerivO3CPU           DDR5_4400_4x8             2.2GHz     3476630885     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  2.2GHz     4678495185     
DerivO3CPU           DDR3_1600_8x8             2.4GHz     1831555323     
DerivO3CPU           DDR3_2133_8x8             2.4GHz     1727238603     
DerivO3CPU           DDR4_2400_8x8             2.4GHz     1734939759     
DerivO3CPU           DDR5_4400_4x8             2.4GHz     3474071202     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  2.4GHz     4674402366     
DerivO3CPU           DDR3_1600_8x8             2.6GHz     1819751010     
DerivO3CPU           DDR3_2133_8x8             2.6GHz     1710429875     
DerivO3CPU           DDR4_2400_8x8             2.6GHz     1727086130     
DerivO3CPU           DDR5_4400_4x8             2.6GHz     3471918065     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  2.6GHz     4672803520     
DerivO3CPU           DDR3_1600_8x8             2.8GHz     1810036767     
DerivO3CPU           DDR3_2133_8x8             2.8GHz     1679215188     
DerivO3CPU           DDR4_2400_8x8             2.8GHz     1722494298     
DerivO3CPU           DDR5_4400_4x8             2.8GHz     3444368844     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  2.8GHz     4673332419     
DerivO3CPU           DDR3_1600_8x8             3GHz       1802383479     
DerivO3CPU           DDR3_2133_8x8             3GHz       1694123847     
DerivO3CPU           DDR4_2400_8x8             3GHz       1708472484     
DerivO3CPU           DDR5_4400_4x8             3GHz       3474207648     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  3GHz       4670588736     
DerivO3CPU           DDR3_1600_8x8             3.2GHz     1792869321     
DerivO3CPU           DDR3_2133_8x8             3.2GHz     1683263920     
DerivO3CPU           DDR4_2400_8x8             3.2GHz     1701678023     
DerivO3CPU           DDR5_4400_4x8             3.2GHz     3446894033     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  3.2GHz     4668818802     
DerivO3CPU           DDR3_1600_8x8             3.3GHz     1740613497     
DerivO3CPU           DDR3_2133_8x8             3.3GHz     1678259733     
DerivO3CPU           DDR4_2400_8x8             3.3GHz     1699082196     
DerivO3CPU           DDR5_4400_4x8             3.3GHz     3439696299     
DerivO3CPU           LPDDR5_5500_1x16_8B_BL32  3.3GHz     4669463613     
TimingSimpleCPU      DDR3_1600_8x8             600MHz     41955784479    
TimingSimpleCPU      DDR3_2133_8x8             600MHz     41129840990    
TimingSimpleCPU      DDR4_2400_8x8             600MHz     41309131841    
TimingSimpleCPU      DDR5_4400_4x8             600MHz     52797522393    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  600MHz     62422088588    
TimingSimpleCPU      DDR3_1600_8x8             800MHz     38478406250    
TimingSimpleCPU      DDR3_2133_8x8             800MHz     37493313750    
TimingSimpleCPU      DDR4_2400_8x8             800MHz     37619180000    
TimingSimpleCPU      DDR5_4400_4x8             800MHz     49890102500    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  800MHz     58651352500    
TimingSimpleCPU      DDR3_1600_8x8             1GHz       36744322000    
TimingSimpleCPU      DDR3_2133_8x8             1GHz       35209025000    
TimingSimpleCPU      DDR4_2400_8x8             1GHz       35994723000    
TimingSimpleCPU      DDR5_4400_4x8             1GHz       48229295000    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1GHz       57140637000    
TimingSimpleCPU      DDR3_1600_8x8             1.2GHz     35567260736    
TimingSimpleCPU      DDR3_2133_8x8             1.2GHz     34277543496    
TimingSimpleCPU      DDR4_2400_8x8             1.2GHz     34954663373    
TimingSimpleCPU      DDR5_4400_4x8             1.2GHz     46420323607    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.2GHz     55544119295    
TimingSimpleCPU      DDR3_1600_8x8             1.4GHz     34748774214    
TimingSimpleCPU      DDR3_2133_8x8             1.4GHz     33218597244    
TimingSimpleCPU      DDR4_2400_8x8             1.4GHz     33772911858    
TimingSimpleCPU      DDR5_4400_4x8             1.4GHz     45843191100    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.4GHz     54413805768    
TimingSimpleCPU      DDR3_1600_8x8             1.6GHz     33751112500    
TimingSimpleCPU      DDR3_2133_8x8             1.6GHz     32309310625    
TimingSimpleCPU      DDR4_2400_8x8             1.6GHz     32811732500    
TimingSimpleCPU      DDR5_4400_4x8             1.6GHz     45352088125    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.6GHz     54888029375    
TimingSimpleCPU      DDR3_1600_8x8             1.8GHz     33390337584    
TimingSimpleCPU      DDR3_2133_8x8             1.8GHz     32051592444    
TimingSimpleCPU      DDR4_2400_8x8             1.8GHz     32445245448    
TimingSimpleCPU      DDR5_4400_4x8             1.8GHz     44610782876    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  1.8GHz     54236219292    
TimingSimpleCPU      DDR3_1600_8x8             2GHz       32442848000    
TimingSimpleCPU      DDR3_2133_8x8             2GHz       31500042500    
TimingSimpleCPU      DDR4_2400_8x8             2GHz       31849949500    
TimingSimpleCPU      DDR5_4400_4x8             2GHz       44308286500    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2GHz       53029544000    
TimingSimpleCPU      DDR3_1600_8x8             2.2GHz     32776203915    
TimingSimpleCPU      DDR3_2133_8x8             2.2GHz     30997793645    
TimingSimpleCPU      DDR4_2400_8x8             2.2GHz     31660648110    
TimingSimpleCPU      DDR5_4400_4x8             2.2GHz     43788914260    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.2GHz     53501172725    
TimingSimpleCPU      DDR3_1600_8x8             2.4GHz     32225209560    
TimingSimpleCPU      DDR3_2133_8x8             2.4GHz     30480039957    
TimingSimpleCPU      DDR4_2400_8x8             2.4GHz     31177248528    
TimingSimpleCPU      DDR5_4400_4x8             2.4GHz     43629612873    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.4GHz     52149965790    
TimingSimpleCPU      DDR3_1600_8x8             2.6GHz     32040749125    
TimingSimpleCPU      DDR3_2133_8x8             2.6GHz     30606509395    
TimingSimpleCPU      DDR4_2400_8x8             2.6GHz     31094013720    
TimingSimpleCPU      DDR5_4400_4x8             2.6GHz     43226738170    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.6GHz     52076561845    
TimingSimpleCPU      DDR3_1600_8x8             2.8GHz     31862613069    
TimingSimpleCPU      DDR3_2133_8x8             2.8GHz     30466367505    
TimingSimpleCPU      DDR4_2400_8x8             2.8GHz     30935786448    
TimingSimpleCPU      DDR5_4400_4x8             2.8GHz     43087539873    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  2.8GHz     51693390084    
TimingSimpleCPU      DDR3_1600_8x8             3GHz       31676975982    
TimingSimpleCPU      DDR3_2133_8x8             3GHz       29789928918    
TimingSimpleCPU      DDR4_2400_8x8             3GHz       30643078914    
TimingSimpleCPU      DDR5_4400_4x8             3GHz       42975185796    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3GHz       51619889439    
TimingSimpleCPU      DDR3_1600_8x8             3.2GHz     31460467901    
TimingSimpleCPU      DDR3_2133_8x8             3.2GHz     30084149622    
TimingSimpleCPU      DDR4_2400_8x8             3.2GHz     30439634051    
TimingSimpleCPU      DDR5_4400_4x8             3.2GHz     42784355303    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3.2GHz     51484222855    
TimingSimpleCPU      DDR3_1600_8x8             3.3GHz     31315673271    
TimingSimpleCPU      DDR3_2133_8x8             3.3GHz     30015303321    
TimingSimpleCPU      DDR4_2400_8x8             3.3GHz     30382597497    
TimingSimpleCPU      DDR5_4400_4x8             3.3GHz     42586823013    
TimingSimpleCPU      LPDDR5_5500_1x16_8B_BL32  3.3GHz     51388966953    
